Spanish,English
de,from
la,the
que,what
el,the
y,Y
en,on
a,to
los,the
del,of
se,I know
las,the
por,for
un,a
con,with
para,in order to
no,not
una,a
es,it is
su,its
al,to the
lo,it
como,What
más,more
o,or
este,this
pero,but
sus,their
esta,is
si,Yes
ha,ha
me,I
ya,already
le,you
son,They are
sobre,on
entre,Come in
ser,to be
fue,It was
sin,without
todo,everything
también,also
desde,since
cuando,when
muy,very
años,years
está,this
todos,everyone
hay,there are
tiene,have
nos,us
porque,because
dos,two
hasta,until
donde,where
parte,part
así,So
han,they have
puede,can
mi,me
año,year
cada,each
uno,one
vez,time
bien,well
hace,makes
trabajo,job
nacional,national
estado,condition
otros,others
gobierno,government
eso,that
tiempo,weather
además,what's more
mismo,same
ese,that
hacer,make
país,country
yo,me
durante,during
te,tea
día,day
tanto,so much
vida,lifetime
esto,this
forma,shape
estos,these
sólo,alone
personas,people
ni,neither
otro,other
ahora,now
hoy,today
era,it was
caso,case
están,is it so
les,them
mejor,best
lugar,place
qué,what
quien,who
